,adi,aza,pga,tka,ama,yst,kgo,pan,ype,jpi,ech,rga,evu,tar,kda,mbe,siv,eiv,ofa,epo,ani,ekl,mbo,ago,ian,npo,rmc,ndo,ake,cmo,epa,sgo,kkn,ase,ecl,aha,sjo,tsw,est,jal,pcr,rwi,ewa,eol,mcy,kst,ero,owi,jla,kpe
adi,0.0,5041.5189179452655,5759.484438732342,5575.778420991996,4906.270579574673,4949.89908988052,4652.352523186522,4717.98685882019,5085.887828098453,4896.520090840025,4938.098520685872,5959.76274695562,6559.86585228692,4269.520699094923,6455.451029943609,6621.374328642053,5224.166536396021,4898.938660567205,4555.136002360413,5153.931412038775,4489.830620413202,4902.5746297226315,4316.4956851594325,5824.954420422532,5408.408268612864,5200.888962475549,5469.482516655484,5206.2284813480865,5285.776196548621,4694.97273687505,5470.302642450416,3974.510032695854,5195.632973950334,4798.898623642721,5651.6666568367245,5894.119527121927,5338.719696706318,5340.54969080899,5017.423043754632,4300.150695033838,5110.7672613806235,5010.585993673794,5247.872235487445,5829.999313893613,6179.602333483927,4395.963489384324,4779.5747718808625,4214.418465221506,6233.9925409002535,5101.287778590814
aza,5041.5189179452655,0.0,5321.892520523127,5358.517145629004,4191.213666708009,4904.601308975073,5407.212868012503,4831.590938810942,4327.198400813164,4705.357584711283,4598.368623762127,5078.162364477922,6281.366809859141,5764.947874872764,5819.767091559593,5885.779047840651,5766.02419349763,5196.898594354137,4621.129407406808,4748.503553752487,4966.770983244546,4940.260418237079,4964.875627848093,4882.191823351475,5868.636724146418,5007.937998817478,5289.494871913575,4571.685465996103,5918.012588699014,4641.982981442306,4479.631681288094,4496.81498396365,5454.939138065612,4809.712777287226,5098.756417009936,5769.860310267485,5223.437278268018,5630.589667166309,5478.33889057623,5087.897502898422,5765.9305406846515,4554.444312976063,5455.372031310056,5254.86888513881,5602.227771163896,4561.533294847249,4880.695032472322,4311.325086327868,6136.649737438173,5708.896565887317
pga,5759.484438732342,5321.892520523127,0.0,5863.336081106046,3988.562899090348,5190.245851595086,6108.942379823205,4623.980860687034,4959.900603842782,5327.150645513979,5268.392923843096,4879.087312192722,4631.426022295941,6069.2391615424085,4759.084470777967,4912.085809511068,4830.58723138295,4943.030548155655,5374.251668837253,4223.864581162611,4458.392311136381,4040.9054678376233,4634.907334564522,4379.576577707027,5227.40231855173,3367.6482892368676,4546.146500059143,4481.8201659593615,4892.6351795326,4515.667392534574,4475.662409074214,4803.592717956009,4965.625136878538,5013.575670118084,4381.767109283651,5007.799916130835,5368.118758000795,4997.6654549899595,4643.892440614877,4730.8864919801235,6420.385891829244,4455.009652065863,4870.830729967938,4362.74649733399,5401.537744013273,5146.364930705944,4802.6296963226305,5383.664922708322,4396.673287839341,5324.372263469188
tka,5575.778420991996,5358.517145629004,5863.336081106046,0.0,5362.098842804,5204.741492139643,5517.772648451547,4832.426616100859,4898.241112889401,5117.961117476372,4779.615465704328,5505.215981230891,6696.486018801204,5901.72974643875,5996.5465894963245,5475.646902421668,5397.219932520816,4405.634006587474,5215.495661967327,4865.894367945116,5186.675042838138,5375.962146444113,5612.73694377351,5513.681075288994,5403.447325550606,5483.364934052812,5335.368965685504,5583.5648111220125,5892.70201181088,5149.398799860038,4992.339732029462,5180.733635306876,6163.892195682854,5394.511006569548,4576.862353184767,5555.2492293325595,5510.095552710497,6214.62597426426,6060.506991993327,5298.417971432605,5008.473320284336,5187.369564625215,5558.50807321533,4983.622277018996,4594.142575062293,5549.143357312009,4708.699183426353,4751.250151275977,5791.761390112683,4883.540109387861
ama,4906.270579574673,4191.213666708009,3988.562899090348,5362.098842804,0.0,4473.772680858964,5436.572541592726,4374.029606667061,4770.144651894741,4942.87062343331,4957.694222115761,4221.950141818352,5448.596608301995,5335.332042150704,5017.028901650857,5275.513908615918,4385.2499358645455,3812.488032768103,4536.438801527031,3872.4323105769067,3678.950937427679,3719.2497899442033,3999.8242461388227,4477.460775930929,4839.76063457688,3463.431679707281,4180.8415420821675,3924.0705905984923,4722.62882301796,4076.6017710833617,4179.309512347703,4085.0849440372717,4398.453250859898,4482.4028154551215,4242.317409152691,5427.593020851877,4172.211763561385,4495.145826333112,4646.565290620589,3435.5193202775035,5724.599986025224,3669.7576214240635,4734.182294757987,4860.082612466583,5577.925062243127,3868.835225232525,4017.618697686479,4122.003153807625,5070.263701228961,4427.876692050039
yst,4949.89908988052,4904.601308975073,5190.245851595086,5204.741492139643,4473.772680858964,0.0,5473.723686851575,4325.511877223319,4723.490234985143,5253.940806670741,4948.231401218015,5148.131991314908,6403.852512355355,5169.279253435628,5968.155577730862,5691.523609719984,5219.759668797023,4166.431206680365,4710.845677795018,4952.190222517709,4310.287693414443,4789.608439110654,4226.832147128627,5226.257265003322,5518.390616837485,4701.57303463426,4890.612231612725,5500.572879255396,5252.8517016949945,4137.976800321626,4600.03891287889,4524.145775723855,5263.753698645103,4421.089571587529,4925.859823421693,5679.107148135172,4539.571896115315,5253.59229480172,4989.223887540025,4531.041050354764,6026.207347909629,4885.096621357658,5416.169310499811,4705.952719694494,5409.140597174379,5109.23947373775,4759.702091517914,4746.330161293038,5591.109013424796,4798.27052176094
kgo,4652.352523186522,5407.212868012503,6108.942379823205,5517.772648451547,5436.572541592726,5473.723686851575,0.0,5237.7894192111235,4895.659812527827,4334.459943291667,4525.091048807747,5182.878736763962,5891.894601908625,6178.088458414949,5956.337801031772,5553.927079103578,5613.893301444195,5185.350325677138,4855.224608604632,4883.490247763376,4996.213466216191,5893.204730874365,5072.024349310638,5338.803798605077,5782.655272450537,5021.312975706653,5194.9678536060255,4973.843282613557,5101.577403117589,5639.133532733553,5036.425418885899,4958.48343750385,5530.668133236707,4806.5022625605825,5337.2852650013,5213.503524502501,6029.229801558405,5315.1454354514135,5711.254328078903,5280.217230379826,5727.357680466622,4798.671482816885,5433.604052560327,5285.956299478837,5126.322561056805,5290.355281075175,4863.44990721607,4308.192776559564,5887.507707001325,5402.18668688893
pan,4717.98685882019,4831.590938810942,4623.980860687034,4832.426616100859,4374.029606667061,4325.511877223319,5237.7894192111235,0.0,4442.699742273835,4608.648500374052,4428.609601217971,4861.809128297819,5330.833518315874,5057.1099454134865,6080.0215460144545,5415.253825999294,5340.261791335702,4580.4023840706395,3932.4035906808954,4547.5502196237485,4211.375665978992,4431.82874217856,3923.434592292829,4727.3804585626485,5572.524203626217,4179.248018483708,5238.377515987178,5012.734882277338,4903.7889432560205,4139.706873680792,4206.061934874473,3834.2811581833694,4507.745112581234,4592.9887872713125,4734.257280714684,4439.336099013004,4851.7419552156725,4939.8302602417425,4537.550881257422,4141.680093874948,5067.933503904723,4300.2099948723435,4240.243507158521,4869.182682956145,5217.250521107837,5272.2952307320575,4853.482770135277,4717.454504285123,5629.742889333402,5160.775038693317
ype,5085.887828098453,4327.198400813164,4959.900603842782,4898.241112889401,4770.144651894741,4723.490234985143,4895.659812527827,4442.699742273835,0.0,4445.692297044409,4338.668228846266,4784.47165317133,5569.860949790398,5560.535046198343,5331.503446496119,5284.530537332526,5419.074921054331,4911.095702590207,4869.251995943525,4521.583572156994,4966.544070075287,5168.300978077806,4898.027562192765,4545.955895078614,5853.139243175409,4497.8502642929325,4596.956819462197,4862.114766230842,5517.264267732696,4886.104992731941,3810.0330707226153,4633.900624743695,5468.015453526078,4355.437176679283,4717.738547227898,4773.530140263074,5425.1944665606225,5195.110393437275,5152.811562632579,5071.18733631484,5457.587653899844,4641.080585380952,5101.833003931039,4331.019395015451,4660.082831881854,5331.195175568045,5154.228361258356,4687.058352527734,5194.939845657503,5736.212862159144
jpi,4896.520090840025,4705.357584711283,5327.150645513979,5117.961117476372,4942.87062343331,5253.940806670741,4334.459943291667,4608.648500374052,4445.692297044409,0.0,3810.8531853116565,4522.484383610406,5601.510242782744,6147.18374542359,5743.587990098175,5137.813640061306,5094.636493411478,4876.118230724108,4294.856342184218,4168.062619491218,4660.801647785496,5185.488308732361,4278.9302401418045,4958.379876532253,5503.406308823654,4515.0,5012.598128715287,4379.343329769887,4684.738733376707,5249.696753146794,4600.518231677818,4480.935505003392,5251.303171594647,4487.860626178135,5278.226690849873,4721.335827919891,5331.8504292599955,4902.630314433263,5914.89010886931,4681.739954333218,5365.175206831554,3926.795003562065,4868.090796195157,4804.2511383148985,4712.19439327369,5267.462197301467,4774.281307170745,4322.77202729915,5419.836897914918,5136.238117533104
